"Date Printed: Monday, April 13, 2026 2:51:16 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2013","South Dakota","46","29","6.8"
"Primary and Secondary Syphilis","2013","Tennessee","47","192","6.1"
"Primary and Secondary Syphilis","2013","Texas","48","1,296","9.9"
"Primary and Secondary Syphilis","2013","Utah","49","72","4.9"
"Primary and Secondary Syphilis","2013","Vermont","50","3","1.0"
"Primary and Secondary Syphilis","2013","Virginia","51","298","7.3"
"Primary and Secondary Syphilis","2013","Washington","53","271","7.8"
"Primary and Secondary Syphilis","2013","West Virginia","54","11","1.2"
"Primary and Secondary Syphilis","2013","Wisconsin","55","86","3.0"
"Primary and Secondary Syphilis","2013","Wyoming","56","1","0.3"
"Primary and Secondary Syphilis","2012","Alabama","01","178","7.6"
"Primary and Secondary Syphilis","2012","Alaska","02","10","2.6"
"Primary and Secondary Syphilis","2012","Arizona","04","186","5.7"
"Primary and Secondary Syphilis","2012","Arkansas","05","124","8.6"
"Primary and Secondary Syphilis","2012","California","06","2,823","15.0"
"Primary and Secondary Syphilis","2012","Colorado","08","205","7.9"
"Primary and Secondary Syphilis","2012","Connecticut","09","46","2.6"
"Primary and Secondary Syphilis","2012","Delaware","10","36","8.1"
"Primary and Secondary Syphilis","2012","District of Columbia","11","159","52.9"
"Primary and Secondary Syphilis","2012","Florida","12","1,235","13.1"
"Primary and Secondary Syphilis","2012","Georgia","13","870","18.0"
"Primary and Secondary Syphilis","2012","Hawaii","15","21","3.0"
"Primary and Secondary Syphilis","2012","Idaho","16","24","3.0"
"Primary and Secondary Syphilis","2012","Illinois","17","731","11.6"
"Primary and Secondary Syphilis","2012","Indiana","18","202","6.3"
"Primary and Secondary Syphilis","2012","Iowa","19","63","4.1"
"Primary and Secondary Syphilis","2012","Kansas","20","22","1.5"
"Primary and Secondary Syphilis","2012","Kentucky","21","137","6.3"
"Primary and Secondary Syphilis","2012","Louisiana","22","212","9.4"
"Primary and Secondary Syphilis","2012","Maine","23","15","2.3"
"Primary and Secondary Syphilis","2012","Maryland","24","386","13.5"
"Primary and Secondary Syphilis","2012","Massachusetts","25","301","9.3"
"Primary and Secondary Syphilis","2012","Michigan","26","265","5.5"
"Primary and Secondary Syphilis","2012","Minnesota","27","111","4.2"
"Primary and Secondary Syphilis","2012","Mississippi","28","116","8.0"
"Primary and Secondary Syphilis","2012","Missouri","29","145","4.9"
"Primary and Secondary Syphilis","2012","Montana","30","2","0.4"
"Primary and Secondary Syphilis","2012","Nebraska","31","7","0.8"
"Primary and Secondary Syphilis","2012","Nevada","32","109","7.9"
"Primary and Secondary Syphilis","2012","New Hampshire","33","36","5.5"
"Primary and Secondary Syphilis","2012","New Jersey","34","210","4.9"
"Primary and Secondary Syphilis","2012","New Mexico","35","92","8.9"
"Primary and Secondary Syphilis","2012","New York","36","1,175","12.4"
"Primary and Secondary Syphilis","2012","North Carolina","37","310","6.5"
