"Date Printed: Friday, April 24, 2026 6:19:32 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2016","Mississippi","28","58","3.8"
"Primary and Secondary Syphilis","2016","Missouri","29","66","2.1"
"Primary and Secondary Syphilis","2016","Montana","30","1","0.2"
"Primary and Secondary Syphilis","2016","Nebraska","31","5","0.5"
"Primary and Secondary Syphilis","2016","Nevada","32","50","3.4"
"Primary and Secondary Syphilis","2016","New Hampshire","33","4","0.6"
"Primary and Secondary Syphilis","2016","New Jersey","34","24","0.5"
"Primary and Secondary Syphilis","2016","New Mexico","35","27","2.6"
"Primary and Secondary Syphilis","2016","New York","36","115","1.1"
"Primary and Secondary Syphilis","2016","North Carolina","37","109","2.1"
"Primary and Secondary Syphilis","2016","North Dakota","38","3","0.8"
"Primary and Secondary Syphilis","2016","Ohio","39","94","1.6"
"Primary and Secondary Syphilis","2016","Oklahoma","40","41","2.1"
"Primary and Secondary Syphilis","2016","Oregon","41","35","1.7"
"Primary and Secondary Syphilis","2016","Pennsylvania","42","62","1.0"
"Primary and Secondary Syphilis","2016","Rhode Island","44","3","0.6"
"Primary and Secondary Syphilis","2016","South Carolina","45","52","2.0"
"Primary and Secondary Syphilis","2016","South Dakota","46","6","1.4"
"Primary and Secondary Syphilis","2016","Tennessee","47","56","1.6"
"Primary and Secondary Syphilis","2016","Texas","48","230","1.6"
"Primary and Secondary Syphilis","2016","Utah","49","6","0.4"
"Primary and Secondary Syphilis","2016","Vermont","50","3","1.0"
"Primary and Secondary Syphilis","2016","Virginia","51","47","1.1"
"Primary and Secondary Syphilis","2016","Washington","53","51","1.4"
"Primary and Secondary Syphilis","2016","West Virginia","54","10","1.1"
"Primary and Secondary Syphilis","2016","Wisconsin","55","7","0.2"
"Primary and Secondary Syphilis","2016","Wyoming","56","1","0.3"
"Primary and Secondary Syphilis","2015","Alabama","01","37","1.5"
"Primary and Secondary Syphilis","2015","Alaska","02","1","0.3"
"Primary and Secondary Syphilis","2015","Arizona","04","47","1.4"
"Primary and Secondary Syphilis","2015","Arkansas","05","26","1.7"
"Primary and Secondary Syphilis","2015","California","06","476","2.4"
"Primary and Secondary Syphilis","2015","Colorado","08","6","0.2"
"Primary and Secondary Syphilis","2015","Connecticut","09","15","0.8"
"Primary and Secondary Syphilis","2015","Delaware","10","2","0.4"
"Primary and Secondary Syphilis","2015","District of Columbia","11","6","1.7"
"Primary and Secondary Syphilis","2015","Florida","12","210","2.0"
"Primary and Secondary Syphilis","2015","Georgia","13","94","1.8"
"Primary and Secondary Syphilis","2015","Hawaii","15","1","0.1"
"Primary and Secondary Syphilis","2015","Idaho","16","9","1.1"
"Primary and Secondary Syphilis","2015","Illinois","17","84","1.3"
"Primary and Secondary Syphilis","2015","Indiana","18","28","0.8"
"Primary and Secondary Syphilis","2015","Iowa","19","5","0.3"
"Primary and Secondary Syphilis","2015","Kansas","20","17","1.2"
"Primary and Secondary Syphilis","2015","Kentucky","21","23","1.0"
"Primary and Secondary Syphilis","2015","Louisiana","22","189","7.9"
"Primary and Secondary Syphilis","2015","Maine","23","6","0.9"
"Primary and Secondary Syphilis","2015","Maryland","24","58","1.9"
"Primary and Secondary Syphilis","2015","Massachusetts","25","25","0.7"
"Primary and Secondary Syphilis","2015","Michigan","26","34","0.7"
"Primary and Secondary Syphilis","2015","Minnesota","27","39","1.4"
"Primary and Secondary Syphilis","2015","Mississippi","28","32","2.1"
"Primary and Secondary Syphilis","2015","Missouri","29","54","1.7"
"Primary and Secondary Syphilis","2015","Montana","30","1","0.2"
"Primary and Secondary Syphilis","2015","Nebraska","31","3","0.3"
"Primary and Secondary Syphilis","2015","Nevada","32","23","1.6"
"Primary and Secondary Syphilis","2015","New Hampshire","33","3","0.4"
"Primary and Secondary Syphilis","2015","New Jersey","34","26","0.6"
"Primary and Secondary Syphilis","2015","New Mexico","35","11","1.0"
"Primary and Secondary Syphilis","2015","New York","36","59","0.6"
"Primary and Secondary Syphilis","2015","North Carolina","37","112","2.2"
"Primary and Secondary Syphilis","2015","North Dakota","38","0","0.0"
"Primary and Secondary Syphilis","2015","Ohio","39","68","1.1"
"Primary and Secondary Syphilis","2015","Oklahoma","40","21","1.1"
"Primary and Secondary Syphilis","2015","Oregon","41","35","1.7"
"Primary and Secondary Syphilis","2015","Pennsylvania","42","52","0.8"
"Primary and Secondary Syphilis","2015","Rhode Island","44","4","0.7"
"Primary and Secondary Syphilis","2015","South Carolina","45","37","1.5"
"Primary and Secondary Syphilis","2015","South Dakota","46","7","1.7"
"Primary and Secondary Syphilis","2015","Tennessee","47","23","0.7"
"Primary and Secondary Syphilis","2015","Texas","48","230","1.7"
"Primary and Secondary Syphilis","2015","Utah","49","2","0.1"
"Primary and Secondary Syphilis","2015","Vermont","50","0","0.0"
"Primary and Secondary Syphilis","2015","Virginia","51","17","0.4"
"Primary and Secondary Syphilis","2015","Washington","53","30","0.8"
"Primary and Secondary Syphilis","2015","West Virginia","54","9","1.0"
"Primary and Secondary Syphilis","2015","Wisconsin","55","0","0.0"
"Primary and Secondary Syphilis","2015","Wyoming","56","1","0.3"
"Primary and Secondary Syphilis","2014","Alabama","01","17","0.7"
"Primary and Secondary Syphilis","2014","Alaska","02","1","0.3"
"Primary and Secondary Syphilis","2014","Arizona","04","50","1.5"
"Primary and Secondary Syphilis","2014","Arkansas","05","23","1.5"
"Primary and Secondary Syphilis","2014","California","06","318","1.6"
"Primary and Secondary Syphilis","2014","Colorado","08","6","0.2"
"Primary and Secondary Syphilis","2014","Connecticut","09","7","0.4"
"Primary and Secondary Syphilis","2014","Delaware","10","2","0.4"
"Primary and Secondary Syphilis","2014","District of Columbia","11","5","1.4"
"Primary and Secondary Syphilis","2014","Florida","12","137","1.4"
"Primary and Secondary Syphilis","2014","Georgia","13","96","1.9"
"Primary and Secondary Syphilis","2014","Hawaii","15","2","0.3"
"Primary and Secondary Syphilis","2014","Idaho","16","0","0.0"
"Primary and Secondary Syphilis","2014","Illinois","17","81","1.2"
"Primary and Secondary Syphilis","2014","Indiana","18","11","0.3"
"Primary and Secondary Syphilis","2014","Iowa","19","6","0.4"
"Primary and Secondary Syphilis","2014","Kansas","20","14","1.0"
"Primary and Secondary Syphilis","2014","Kentucky","21","22","1.0"
"Primary and Secondary Syphilis","2014","Louisiana","22","132","5.6"
"Primary and Secondary Syphilis","2014","Maine","23","3","0.4"
"Primary and Secondary Syphilis","2014","Maryland","24","49","1.6"
"Primary and Secondary Syphilis","2014","Massachusetts","25","23","0.7"
"Primary and Secondary Syphilis","2014","Michigan","26","31","0.6"
"Primary and Secondary Syphilis","2014","Minnesota","27","21","0.8"
"Primary and Secondary Syphilis","2014","Mississippi","28","17","1.1"
"Primary and Secondary Syphilis","2014","Missouri","29","34","1.1"
"Primary and Secondary Syphilis","2014","Montana","30","2","0.4"
"Primary and Secondary Syphilis","2014","Nebraska","31","4","0.4"
"Primary and Secondary Syphilis","2014","Nevada","32","23","1.6"
"Primary and Secondary Syphilis","2014","New Hampshire","33","4","0.6"
"Primary and Secondary Syphilis","2014","New Jersey","34","16","0.4"
"Primary and Secondary Syphilis","2014","New Mexico","35","14","1.3"
"Primary and Secondary Syphilis","2014","New York","36","49","0.5"
"Primary and Secondary Syphilis","2014","North Carolina","37","68","1.3"
"Primary and Secondary Syphilis","2014","North Dakota","38","5","1.4"
"Primary and Secondary Syphilis","2014","Ohio","39","76","1.3"
"Primary and Secondary Syphilis","2014","Oklahoma","40","15","0.8"
"Primary and Secondary Syphilis","2014","Oregon","41","22","1.1"
"Primary and Secondary Syphilis","2014","Pennsylvania","42","47","0.7"
"Primary and Secondary Syphilis","2014","Rhode Island","44","5","0.9"
"Primary and Secondary Syphilis","2014","South Carolina","45","23","0.9"
"Primary and Secondary Syphilis","2014","South Dakota","46","34","8.1"
"Primary and Secondary Syphilis","2014","Tennessee","47","34","1.0"
"Primary and Secondary Syphilis","2014","Texas","48","242","1.8"
"Primary and Secondary Syphilis","2014","Utah","49","1","0.1"
"Primary and Secondary Syphilis","2014","Vermont","50","0","0.0"
"Primary and Secondary Syphilis","2014","Virginia","51","17","0.4"
"Primary and Secondary Syphilis","2014","Washington","53","18","0.5"
"Primary and Secondary Syphilis","2014","West Virginia","54","6","0.6"
"Primary and Secondary Syphilis","2014","Wisconsin","55","7","0.2"
"Primary and Secondary Syphilis","2014","Wyoming","56","0","0.0"
"Primary and Secondary Syphilis","2013","Alabama","01","22","0.9"
"Primary and Secondary Syphilis","2013","Alaska","02","2","0.6"
"Primary and Secondary Syphilis","2013","Arizona","04","27","0.8"
"Primary and Secondary Syphilis","2013","Arkansas","05","44","2.9"
"Primary and Secondary Syphilis","2013","California","06","210","1.1"
"Primary and Secondary Syphilis","2013","Colorado","08","4","0.2"
"Primary and Secondary Syphilis","2013","Connecticut","09","8","0.4"
"Primary and Secondary Syphilis","2013","Delaware","10","3","0.6"
"Primary and Secondary Syphilis","2013","District of Columbia","11","19","5.6"
"Primary and Secondary Syphilis","2013","Florida","12","137","1.4"
"Primary and Secondary Syphilis","2013","Georgia","13","87","1.7"
"Primary and Secondary Syphilis","2013","Hawaii","15","0","0.0"
"Primary and Secondary Syphilis","2013","Idaho","16","0","0.0"
"Primary and Secondary Syphilis","2013","Illinois","17","66","1.0"
"Primary and Secondary Syphilis","2013","Indiana","18","18","0.5"
"Primary and Secondary Syphilis","2013","Iowa","19","10","0.6"
"Primary and Secondary Syphilis","2013","Kansas","20","4","0.3"
"Primary and Secondary Syphilis","2013","Kentucky","21","17","0.8"
"Primary and Secondary Syphilis","2013","Louisiana","22","115","4.9"
"Primary and Secondary Syphilis","2013","Maine","23","1","0.1"
"Primary and Secondary Syphilis","2013","Maryland","24","61","2.0"
"Primary and Secondary Syphilis","2013","Massachusetts","25","17","0.5"
"Primary and Secondary Syphilis","2013","Michigan","26","29","0.6"
"Primary and Secondary Syphilis","2013","Minnesota","27","12","0.4"
"Primary and Secondary Syphilis","2013","Mississippi","28","19","1.2"
"Primary and Secondary Syphilis","2013","Missouri","29","19","0.6"
"Primary and Secondary Syphilis","2013","Montana","30","1","0.2"
"Primary and Secondary Syphilis","2013","Nebraska","31","4","0.4"
"Primary and Secondary Syphilis","2013","Nevada","32","14","1.0"
"Primary and Secondary Syphilis","2013","New Hampshire","33","1","0.1"
"Primary and Secondary Syphilis","2013","New Jersey","34","13","0.3"
"Primary and Secondary Syphilis","2013","New Mexico","35","20","1.9"
"Primary and Secondary Syphilis","2013","New York","36","44","0.4"
"Primary and Secondary Syphilis","2013","North Carolina","37","36","0.7"
"Primary and Secondary Syphilis","2013","North Dakota","38","1","0.3"
"Primary and Secondary Syphilis","2013","Ohio","39","63","1.1"
"Primary and Secondary Syphilis","2013","Oklahoma","40","13","0.7"
"Primary and Secondary Syphilis","2013","Oregon","41","12","0.6"
"Primary and Secondary Syphilis","2013","Pennsylvania","42","26","0.4"
"Primary and Secondary Syphilis","2013","Rhode Island","44","1","0.2"
"Primary and Secondary Syphilis","2013","South Carolina","45","39","1.6"
"Primary and Secondary Syphilis","2013","South Dakota","46","15","3.6"
"Primary and Secondary Syphilis","2013","Tennessee","47","22","0.7"
"Primary and Secondary Syphilis","2013","Texas","48","179","1.3"
"Primary and Secondary Syphilis","2013","Utah","49","2","0.1"
"Primary and Secondary Syphilis","2013","Vermont","50","0","0.0"
"Primary and Secondary Syphilis","2013","Virginia","51","17","0.4"
"Primary and Secondary Syphilis","2013","Washington","53","13","0.4"
"Primary and Secondary Syphilis","2013","West Virginia","54","4","0.4"
"Primary and Secondary Syphilis","2013","Wisconsin","55","9","0.3"
"Primary and Secondary Syphilis","2013","Wyoming","56","0","0.0"
"Primary and Secondary Syphilis","2012","Alabama","01","38","1.5"
"Primary and Secondary Syphilis","2012","Alaska","02","1","0.3"
"Primary and Secondary Syphilis","2012","Arizona","04","16","0.5"
"Primary and Secondary Syphilis","2012","Arkansas","05","49","3.3"
"Primary and Secondary Syphilis","2012","California","06","116","0.6"
"Primary and Secondary Syphilis","2012","Colorado","08","3","0.1"
"Primary and Secondary Syphilis","2012","Connecticut","09","9","0.5"
"Primary and Secondary Syphilis","2012","Delaware","10","2","0.4"
"Primary and Secondary Syphilis","2012","District of Columbia","11","6","1.8"
"Primary and Secondary Syphilis","2012","Florida","12","134","1.4"
"Primary and Secondary Syphilis","2012","Georgia","13","66","1.3"
"Primary and Secondary Syphilis","2012","Hawaii","15","2","0.3"
"Primary and Secondary Syphilis","2012","Idaho","16","2","0.3"
"Primary and Secondary Syphilis","2012","Illinois","17","73","1.1"
"Primary and Secondary Syphilis","2012","Indiana","18","22","0.7"
"Primary and Secondary Syphilis","2012","Iowa","19","7","0.5"
"Primary and Secondary Syphilis","2012","Kansas","20","2","0.1"
"Primary and Secondary Syphilis","2012","Kentucky","21","13","0.6"
"Primary and Secondary Syphilis","2012","Louisiana","22","127","5.4"
"Primary and Secondary Syphilis","2012","Maine","23","2","0.3"
"Primary and Secondary Syphilis","2012","Maryland","24","45","1.5"
"Primary and Secondary Syphilis","2012","Massachusetts","25","15","0.4"
"Primary and Secondary Syphilis","2012","Michigan","26","30","0.6"
"Primary and Secondary Syphilis","2012","Minnesota","27","7","0.3"
"Primary and Secondary Syphilis","2012","Mississippi","28","34","2.2"
"Primary and Secondary Syphilis","2012","Missouri","29","12","0.4"
"Primary and Secondary Syphilis","2012","Montana","30","0","0.0"
"Primary and Secondary Syphilis","2012","Nebraska","31","1","0.1"
"Primary and Secondary Syphilis","2012","Nevada","32","4","0.3"
"Primary and Secondary Syphilis","2012","New Hampshire","33","0","0.0"
"Primary and Secondary Syphilis","2012","New Jersey","34","19","0.4"
"Primary and Secondary Syphilis","2012","New Mexico","35","9","0.9"
"Primary and Secondary Syphilis","2012","New York","36","45","0.4"
"Primary and Secondary Syphilis","2012","North Carolina","37","37","0.7"
"Primary and Secondary Syphilis","2012","North Dakota","38","0","0.0"
"Primary and Secondary Syphilis","2012","Ohio","39","85","1.4"
